character,hun_eum,components_norm,components_detail,comp_status,title,link,content
徵,부를 징,王,王(임금 왕),ok,부를 징(徵),http://tonghanja.com/%eb%b6%80%eb%a5%bc-%ec%a7%95%e5%be%b5/,"徵 .3급Ⅱ : 微(작을 미)의 이형 王: 임금 왕 작은( ) 이에게 왕(王)이 하는 것은? ‘ 작은 이’ 즉 ‘미천한 이’에게 왕 이 하는 것은 필요할 때마다 ‘ 부름 ’이지요. 부를 징 징 집 (徵 集 : 불러 모음 ) , 징병(徵兵), 징발(徵發) * ‘徵’의 옛 자형은 ‘微+王’이었으나, 후에 편의상 ‘几’가 생략되었답니다."
微,작을 미,彳攵,彳(걸을) 척(모양) 攵(칠(때릴) 복),ok,작을 미(微),http://tonghanja.com/%ec%9e%91%ec%9d%84-%eb%af%b8%e5%be%ae/,"微 .3급Ⅱ 彳: 걸을 척 : 모양 攵: 칠(때릴) 복 걸으면서(彳) 머리 숙이고(山) 팔 뻗고(ㅡ) 다리 굽힌(几) 채로 때려(攵) 잡는 동물은? 걸으면서 머리 숙이고 팔 뻗고 다리 굽힌 채로 때려 잡는 벼룩이나 이 따위의 동물은 ‘ 작음 ’이지요. 작을 미 미 물 (微 物 : 작은 물건 또는 동물 ) , 미세(微細), 미천(微賤)"
豈,어찌 기,,,none,어찌 기(豈),http://tonghanja.com/%ec%96%b4%ec%b0%8c-%ea%b8%b0%e8%b1%88/,豈 .3급 북(豈)을 치면? 북 을 치면 ‘ 어찌 ’ 기쁘지 아니한가 . 어찌 기
喜,기쁠 희,壴,壴(북 주  ㅁ: 입 구),ok,기쁠 희(喜),http://tonghanja.com/%ea%b8%b0%ec%81%a0-%ed%9d%ac%e5%96%9c/,"喜 .4급 壴: 북 주 ㅁ: 입 구 북(壴)을 치며 입(ㅁ)으로 노래하면? 북 을 치며 입 으로 노래하면 ‘ 기쁨 ’이지요. 기쁠 희 희 열 (喜 悅 : 기쁨) , 환희(歡喜)"
樹,나무 수,尌木,木(나무 목) 尌(세울 주),ok,나무 수(樹),http://tonghanja.com/%eb%82%98%eb%ac%b4-%ec%88%98%e6%a8%b9/,"樹 .6급 木: 나무 목 尌: 세울 주 나무(木)인데 세우는(尌) 것은? 나무 인데 곧게 세우는 것은 ‘ 나무 ’이지요. 나무 수 수 목 (樹 木 : 살아 있는 나무) , 과수(果樹), 가로수(街路樹)"
尌,세울 주,壴寸,壴(북 주) 寸(마디(손) 촌),ok,세울 주(尌),http://tonghanja.com/%ec%84%b8%ec%9a%b8-%ec%a3%bc%e5%b0%8c/,尌 .무급 壴: 북 주 寸: 마디(손) 촌 북(壴)을 손(寸)으로 들어올리는 것은? 북 을 손 으로 들어올리는 것은 세로로 ‘ 세움 ’이지요. 세울 주
鼓,북 고,十又壴,壴(북 주) 十(모양) 又(또(손) 우),ok,북 고(鼓),http://tonghanja.com/%eb%b6%81-%ea%b3%a0%e9%bc%93/,"鼓 .3급Ⅱ 壴: 북 주 十: 모양 又: 또(손) 우 북(壴)인데 채(十)를 손(又)에 들고 치는 것은? 북 인데 채 를 손 에 들고 치는 것은 ‘ 북 ’이지요. 북 고 대 고 ( 大 鼓: 큰 북) , 소고(小鼓), 승전고(勝戰鼓)"
壴,북 주,,,none,북 주(壴),http://tonghanja.com/%eb%b6%81-%ec%a3%bc%e5%a3%b4/,壴 .무급 매듭(士)과 가죽(ㅁ)과 통(ㅛ)으로 된 것은? ‘ 壴 ’는 매듭 과 가죽 과 통 으로 된 ‘단면 북 ’을 나타낸 글자입니다. 북 주
壤,흙덩이 양,土襄,土(흙 토) 襄(도울 양),ok,흙덩이 양(壤),http://tonghanja.com/%ed%9d%99%eb%8d%a9%ec%9d%b4-%ec%96%91%e5%a3%a4/,壤 .3급Ⅱ 土: 흙 토 襄: 도울 양 흙(土)인데 도움(襄)이 되는 것은? 흙 인데 농작물의 생장에 도움 이 되는 것은 ‘ 흙덩이 ’이지요. 흙덩이 양 토 양 ( 土 壤: 흙덩이 / 농작물 등이 생장할 수 있는 흙 )
讓,사양할 양,襄言,言(말씀(말) 언) 襄(도울 양),ok,사양할 양(讓),http://tonghanja.com/%ec%82%ac%ec%96%91%ed%95%a0-%ec%96%91%e8%ae%93/,"讓 .3급Ⅱ 言: 말씀(말) 언 襄: 도울 양 말(言)인데 도움(襄)을 받을 때 하는 것은? 말 인데 상대에게 도움 을 받을 때 일단 하는 것은 ‘ 사양함 ’이지요. 사양할 양 사 양 ( 辭 讓: 겸손히 말하고 받지 아니함 ) , 겸양(謙讓), 양보(讓步)"
襄,도울 양,,,none,도울 양(襄),http://tonghanja.com/%eb%8f%84%ec%9a%b8-%ec%96%91%e8%a5%84/,"襄 .1급Ⅱ 주머니(襄)를 채워주는 것은? 주머니 를 채워주는 것은 상대를 ‘ 도움 ’이지요. ☞ 襄: 옷( )의 양옆에 구멍들( )을 우물( )처럼 뚫고 바닥(ㅡ)을 막은 것인, ‘주머니’를 나타낸 글자 도울 양"
壞,무너질 괴,土褱,土(흙 토) 褱(품을 회),ok,무너질 괴(壞),http://tonghanja.com/%eb%ac%b4%eb%84%88%ec%a7%88-%ea%b4%b4%e5%a3%9e/,"壞 .3급Ⅱ 土: 흙 토 褱: 품을 회 흙(土)이 품는(褱) 것은? 흙 이 무엇을 품는 것은 흙이 ‘ 무너짐 ’이지요. 무너질 괴 붕 괴 ( 崩 壞: 무너짐) , 파괴(破壞), 괴멸(壞滅)"
懷,품을 회,心褱,忄(마음 심) 褱(품을 회),ok,품을 회(懷),http://tonghanja.com/%ed%92%88%ec%9d%84-%ed%9a%8c%e6%87%b7/,"懷 .3급Ⅱ 忄: 마음 심 褱: 품을 회 마음(忄)속에 품는(褱) 것은? 마음 속에 어떤 생각을 품는 것은 ‘ 품음 ’이지요. 품을 회 회 포 (懷 抱 : 마음속에 품은 생각이나 정 ) , 회의(懷疑), 회유(懷柔)"
褱,품을 회,氺网衣,衣(옷 의) 罒(눈 목) 氺(물 수),ok,품을 회(褱),http://tonghanja.com/%ed%92%88%ec%9d%84-%ed%9a%8c%e8%a4%b1/,褱 .무급 衣: 옷 의 罒: 눈 목 氺: 물 수 옷(衣)에 눈(罒)물(氺)을 떨구는 이에게 하는 것은? 옷 에 눈물 을 떨구는 이에게 하는 것은 따뜻하게 ‘ 품음 ’이지요. 품을 회 * 품다: 1. 품속에 넣다 2. 가슴에 대어 안다
獵,사냥 렵,巤犬,犭(개 견) 巤(털 난 짐승 렵),ok,사냥 렵(獵),http://tonghanja.com/%ec%82%ac%eb%83%a5-%eb%a0%b5%e7%8d%b5/,"獵 .3급 犭: 개 견 巤: 털 난 짐승 렵 개(犭)에게 털 난 짐승(巤)을 잡게 하는 것은? 개 에게 털 난 짐승 을 잡게 하는 것은 ‘ 사냥 ’이지요. 사냥 렵 수 렵 ( 狩 獵: 사냥 *狩·1급·사냥 수 ) , 밀렵(密獵)"
巤,털 난 짐승 렵,,,none,털 난 짐승 렵(巤),http://tonghanja.com/%ed%84%b8-%eb%82%9c-%ec%a7%90%ec%8a%b9-%eb%a0%b5%e5%b7%a4/,巤 .무급 털( )과 흉한 몸통( )과 털 난 다리( )와 꼬리( )로 된 것은? ‘ 巤 ’은 털 과 흉한 몸통 과 털 난 다리 와 꼬리 로 된 ‘ 털 난 짐승 ’을 나타낸 글자입니다. 털 난 짐승 렵
演,펼 연,寅水,氵(물 수) 寅(범(펼) 인),ok,펼 연(演),http://tonghanja.com/%ed%8e%bc-%ec%97%b0%e6%bc%94/,"演 .4급Ⅱ 氵: 물 수 寅: 범(펼) 인 물(氵) 흐르듯 펴는(寅) 것은? 물 흐르듯 펴는 것은 재주 따위를 ‘ 폄 ’이지요. 펼 연 연 기 (演 技 : 구경꾼 앞에서 재주를 폄) , 연주(演奏), 공연(公演)"
寅,범 인,,,none,범 인(寅),http://tonghanja.com/%eb%b2%94-%ec%9d%b8%e5%af%85/,"寅 .3급 꼬리( )와 머리( )와 목( )과 몸통( )과 다리( )로 된 것은? ‘ 寅 ’은 활 ( )에 화살 ( )을 걸고 양손 ( )으로 당기는 것인 ‘ 폄 ’을 나타낸 글자였으나, 후에 십이지(十二支)에서는 범을 정면에서 바라본 모습과 같다 하여 ‘ 범 ’을 뜻하게 되었답니다. 범 인"
擔,멜 담,手詹,扌(손 수) 詹(이를 첨),ok,멜 담(擔),http://tonghanja.com/%eb%a9%9c-%eb%8b%b4%e6%93%94/,"擔 .4급Ⅱ 扌: 손 수 詹: 이를 첨 손(扌)으로 위에 이르게(詹) 하는 것은? 손 으로 짐이나 가방 따위를 위에 이르게 하는 것은 ‘ 멤 ’이지요. 멜 담 부 담 ( 負 擔: 지거나 멤) , 전담(全擔), 담당(擔當)"
詹,이를 첨,儿厂言,厂(기슭(벼랑) 엄) 儿(사람 인) 言(말씀 언),ok,이를 첨(詹),http://tonghanja.com/%ec%9d%b4%eb%a5%bc-%ec%b2%a8%e8%a9%b9/,詹 .특급Ⅱ : 사람 인 厂: 기슭(벼랑) 엄 儿: 사람 인 言: 말씀 언 사람( )이 벼랑(厂) 위에서 아래의 사람(儿)에게 말(言)하여 하는 것은? 사람 이 벼랑 위에서 아래의 사람 에게 경로 따위를 말 하여 하는 것은 아래의 사람이 벼랑 위에 ‘ 이름 ’이지요. 이를 첨
戚,친척 척,尗戊,戊(천간(무성할) 무) 尗(콩 숙),ok,친척 척(戚),http://tonghanja.com/%ec%b9%9c%ec%b2%99-%ec%b2%99%e6%88%9a/,"戚 .3급Ⅱ 戊: 천간(무성할) 무 尗: 콩 숙 무성한(戊) 콩(尗) 같은 것은? 무성한 콩 같은 것은 ‘ 친척 ’이지요. 친척 척 친 척 ( 親 戚: 친족과 외척을 아울러 이르는 말 ) , 외척(外戚), 인척(姻戚)"
督,감독할 독,叔目,叔(아재비 숙) 目(눈 목),ok,감독할 독(督),http://tonghanja.com/%ea%b0%90%eb%8f%85%ed%95%a0-%eb%8f%85%e7%9d%a3/,"督 .4급Ⅱ 叔: 아재비 숙 目: 눈 목 아재비(叔)가 눈(目)으로 하는 것은? 아재비 가 눈 으로 하는 것은 ‘ 감독함 ’이지요. 감독할 독 감 독 ( 監 督: 일을 제대로 하나 살피어 봄 ) , 독촉(督促), 독려(督勵)"
寂,고요할 적,叔宀,宀(집 면) 叔(아재비 숙),ok,고요할 적(寂),http://tonghanja.com/%ea%b3%a0%ec%9a%94%ed%95%a0-%ec%a0%81%e5%af%82/,"寂 .3급Ⅱ 宀: 집 면 叔: 아재비 숙 집(宀)에 아재비(叔)만 있으면? 집 에 아재비 만 홀로 있으면 ‘ 고요함 ’이지요. 고요할 적 적적 (寂寂: 고요함) , 정적(靜寂), 한적(閑寂)"
淑,맑을 숙,叔水,氵(물 수) 叔(아재비 숙),ok,맑을 숙(淑),http://tonghanja.com/%eb%a7%91%ec%9d%84-%ec%88%99%e6%b7%91/,"淑 .3급Ⅱ 氵: 물 수 叔: 아재비 숙 물(氵)인데 아재비(叔)가 길어오는 것은? 물 인데 힘 좋은 아재비 가 먼 데서 길어오는 것은 ‘ 맑음 ’이지요. 맑을 숙 숙 수 (淑 水 : 맑은 물 ) , 숙녀(淑女), 정숙(貞淑)"
叔,아재비 숙,又尗,尗(콩 숙) 又(또(손) 우),ok,아재비 숙(叔),http://tonghanja.com/%ec%95%84%ec%9e%ac%eb%b9%84-%ec%88%99%e5%8f%94/,"叔 .4급 尗: 콩 숙 又: 또(손) 우 콩(尗)을 손(又)으로 따는 이는? 콩 을 손 으로 따는 이는 힘 좋은 ‘ 아재비 ’이지요. 아재비 숙 숙 부 (叔 父 : 아재비) , 종숙(從叔), 당숙(堂叔) * 아재비: 1. 아저씨의 낮춤말 2. 작은아버지"
尗,콩 숙,,,none,콩 숙(尗),http://tonghanja.com/%ec%bd%a9-%ec%88%99%e5%b0%97/,尗 .무급 줄기( )와 꼬투리( )와 지면(一)과 뿌리(小)는? ‘ 尗 ’은 줄기 와 꼬투리 와 지면 과 뿌리 로 된 ‘ 콩 ’을 나타낸 글자입니다. 콩 숙
盛,성할 성,成皿,成(이룰 성) 皿(그릇 명),ok,성할 성(盛),http://tonghanja.com/%ec%84%b1%ed%95%a0-%ec%84%b1%e7%9b%9b/,"盛 .4급Ⅱ 成: 이룰 성 皿: 그릇 명 이룬(成) 음식을 그릇(皿)에 담은 모양은? ‘ 이룬 ’ 즉 ‘완성한’ 음식을 그릇 에 가득 담은 모양은 ‘ 성함 ’이지요. 성할 성 성 함 (盛 함 : 기운이나 세력 따위가 크거나 많아짐 ) , 성대(盛大), 풍성(豊盛)"
誠,정성 성,成言,言(말씀(말) 언) 成(이룰 성),ok,정성 성(誠),http://tonghanja.com/%ec%a0%95%ec%84%b1-%ec%84%b1%e8%aa%a0/,"誠 .4급Ⅱ 言: 말씀(말) 언 成: 이룰 성 말(言)을 이루게(成) 하는 것은? 자기의 말 을 이루게 하는 것은 ‘ 정성 ’이지요. 정성 성 정 성 ( 精 誠: 온갖 힘을 다하려는 마음 ) , 성심(誠心), 성의(誠意)"
城,성 성,土成,土(흙 토) 成(이룰 성),ok,성 성(城),http://tonghanja.com/%ec%84%b1-%ec%84%b1%e5%9f%8e/,"城 .4급Ⅱ 土: 흙 토 成: 이룰 성 흙(土)을 쌓아 이룬(成) 것은? 흙 을 쌓아 이룬 것은 ‘ 성 ’이지요. 성 성 성 (城: 적을 막기 위해 쌓은 건축물 ) , 토성(土城), 만리장성(萬里長城)"
成,이룰 성,戌,戌(개(도끼)) 술(모양),ok,이룰 성(成),http://tonghanja.com/%ec%9d%b4%eb%a3%b0-%ec%84%b1%e6%88%90/,"成 .6급Ⅱ 戌: 개(도끼) 술 : 모양 도끼(戌)에서 피( )가 흐르는 것은? 도끼 에서 피 가 흐르는 것은 병사가 공을 ‘ 이룸 ’이지요. 이룰 성 성 공 (成 功 : 공을 이룸) , 성사(成事), 달성(達成)"
越,넘을 월,戉走,走(달릴 주) 戉(도끼 월),ok,넘을 월(越),http://tonghanja.com/%eb%84%98%ec%9d%84-%ec%9b%94%e8%b6%8a/,"越 .3급Ⅱ 走: 달릴 주 戉: 도끼 월 달리면서(走) 도끼(戉)를 휘두르는 것은? 달리면서 도끼 를 휘두르는 것은 병사가 국경을 ‘ 넘음 ’이지요. ☞ ‘戉’은 ‘戌’(도끼 술)이 변한 글자입니다. 넘을 월 월 경 (越 境 : 국경을 넘음) , 초월(超越), 추월(追越)"
歲,해 세,戌步,步(걸음 보) 戌(개(도끼) 술),ok,해 세(歲),http://tonghanja.com/%ed%95%b4-%ec%84%b8%e6%ad%b2/,"歲 .5급Ⅱ 步: 걸음 보 戌: 개(도끼) 술 걸으면서(步) 낫(戌)질하면 끝나는 것은? 걸으면서 ‘낫 질하면’ 즉 ‘농작물을 수확하면’ 끝나는 것은 한 ‘ 해 ’이지요. ☞ ‘歲’의 ‘戌’은 원래 ‘낫’의 모양을 나타낸 글자였으나, 후에 자형이 비슷하여 ‘戌’이 되었답니다. 해 세 연세(年歲), 세월(歲月), 세배(歲拜)"
感,느낄 감,咸心,咸(다 함) 心(마음 심),ok,느낄 감(感),http://tonghanja.com/%eb%8a%90%eb%82%84-%ea%b0%90%e6%84%9f/,"感 .6급 咸: 다 함 心: 마음 심 다(咸) 마음(心) 먹기에 달린 것은? 다 마음 먹기에 달린 것은 기쁨·슬픔· 좋음·싫음·즐거움·괴로움·사랑함·증오함 따위를 ‘ 느낌 ’이지요. 느낄 감 감 정 (感 情 : 느끼어 일어나는 심정 ) , 감성(感性), 만감(萬感)"
減,줄 감/ 덜 감,咸水,氵(물 수) 咸(다 함),ok,줄 감/ 덜 감(減),http://tonghanja.com/%ec%a4%84-%ea%b0%90-%eb%8d%9c-%ea%b0%90%e6%b8%9b/,"減 .4급Ⅱ 氵: 물 수 咸: 다 함 물(氵)이 다(咸)하는 것은? 물 이 점점 다 하는 것은 ‘ 줆 ’이나 ‘ 덞 ’이지요. 줄/덜 감 감 소 (減 少 : 줄어서 적어짐/ 덜어서 적게 함 ) , 감축(減縮), 감량(減量) * 다하다: 다 없어지다"
咸,다 함,戌,戌(개(도끼) 술  ㅁ: 입(말) 구),ok,다 함(咸),http://tonghanja.com/%eb%8b%a4-%ed%95%a8%e5%92%b8/,"咸 .3급 戌: 개(도끼) 술 ㅁ: 입(말) 구 도끼(戌) 든 병사들이 입(ㅁ)으로 소리치는 것은? 도끼 든 병사들이 입 으로 소리치는 것은 ‘ 다 ’ 함께이지요. 다 함 함흥차사(咸興差使) * 함흥차사(咸興差使): 함흥으로 간 차사라는 뜻으로, 심부름을 가서 오지 않는 사람이나 그런 경우를 이르는 말"
威,위엄 위,女戌,戌(개(도끼) 술) 女(여자 녀),ok,위엄 위(威),http://tonghanja.com/%ec%9c%84%ec%97%84-%ec%9c%84%e5%a8%81/,"威 .4급 戌: 개(도끼) 술 女: 여자 녀 도끼(戌)로 여자(女)에게 보이는 것은? 도끼 로 적국의 여자 에게 보이는 것은 ‘ 위엄 ’이지요. 위엄 위 위 엄 (威 嚴 : 사람을 두렵게 하여 복종시키는 엄한 태도 ) , 위세(威勢), 위력(威力)"
滅,멸할 멸,戌水火,氵(물 수) 戌(개(도끼) 술) 火(불 화),ok,멸할 멸(滅),http://tonghanja.com/%eb%a9%b8%ed%95%a0-%eb%a9%b8%e6%bb%85/,"滅 .3급Ⅱ 氵: 물 수 戌: 개(도끼) 술 火: 불 화 물(氵)과 도끼(戌)로 불(火)을 끄는 것은? 물 과 소방 도끼 로 불 을 끄는 것은 화재를 ‘ 멸함 ’이지요. 멸할 멸 멸 함 (滅 함 : 죄다 없애버림 ) , 소멸(消滅), 파멸(破滅)"
戌,개 술,,,none,개 술(戌),http://tonghanja.com/%ea%b0%9c-%ec%88%a0%e6%88%8c/,"戌 .3급 머리( )와 앞다리( )와 몸통 및 뒷다리( )와 꼬리( )는? ‘ 戌 ’은 도끼날 ( )이 달린 창 (戈)인 ‘ 도끼 ’를 나타낸 글자였으나, 후에 십이지(十二支)에서는 자형이 ‘개 견(犬)’의 원래 모양과 비슷하다는 데서 ‘ 개 ’를 뜻하게 되었답니다. 개 술"
茂,무성할 무,戊艸,艹(풀 초) 戊(천간(무성할) 무),ok,무성할 무(茂),http://tonghanja.com/%eb%ac%b4%ec%84%b1%ed%95%a0-%eb%ac%b4%e8%8c%82/,茂 .3급Ⅱ 艹: 풀 초 戊: 천간(무성할) 무 풀(艹)이 무성한(戊) 것은? 풀 이 무성한 것은 ‘ 무성함 ’이지요. 무성할 무 무 성 (茂 盛 : 초목 따위가 성하게 우거짐 )
戊,천간 무,戈,급(모양) 戈(창 과),ok,천간 무(戊),http://tonghanja.com/%ec%b2%9c%ea%b0%84-%eb%ac%b4%e6%88%8a/,"戊 .3급 : 모양 戈: 창 과 긴 날( )이 달린 창(戈)은? ‘ 戊 ’는 긴 날 이 달린 창 은 날의 모양이 ‘ 무성함 ’을 나타낸 글자였으나, 후에 천간(天干: 갑을병정무기경신임계)에서 다섯째로 쓰여 다섯째 ‘ 천간 (天干)’을 뜻하게 되었답니다. 천간 무"
詞,말 사,司言,言(말씀(말) 언) 司(맡을 사),ok,말 사(詞),http://tonghanja.com/%eb%a7%90-%ec%82%ac%e8%a9%9e/,"詞 .3급Ⅱ 言: 말씀(말) 언 司: 맡을 사 말(言)인데 맡은(司) 이가 하는 것은? 말 인데 어떤 역할을 맡은 이가 하는 것은 ‘ 말 ’이지요. 말 사 대 사 ( 臺 詞: 무대에서 배우가 하는 말 ) , 가사(歌詞), 작사(作詞)"
司,맡을 사,,,none,맡을 사(司),http://tonghanja.com/%eb%a7%a1%ec%9d%84-%ec%82%ac%e5%8f%b8/,"司 .3급Ⅱ 허리 굽혀( ) 손( )을 물건(ㅁ)에 대고 있는 것은? 허리 굽혀 손 을 물건 에 대고 있는 것은 물건을 ‘ 맡음 ’이지요. 맡을 사 사회자(司會者), 사령관(司令官), 사법부(司法府)"
體,몸 체,豊骨,骨(뼈 골) 豊(풍성할 풍),ok,몸 체(體),http://tonghanja.com/%eb%aa%b8-%ec%b2%b4%e9%ab%94/,"體 .6급Ⅱ 骨: 뼈 골 豊: 풍성할 풍 뼈(骨)와 풍성한(豊) 살로 된 것은? 뼈 와 풍성한 살로 된 것은 ‘ 몸 ’이지요. 몸 체 신 체 ( 身 體: 몸) , 육체(肉體), 인체(人體)"
禮,예도 례,示豊,示(보일(제단) 시) 豊(풍성할 풍),ok,예도 례(禮),http://tonghanja.com/%ec%98%88%eb%8f%84-%eb%a1%80%e7%a6%ae/,"禮 .6급 示: 보일(제단) 시 豊: 풍성할 풍 제단(示)에 풍성한(豊) 음식을 올리는 것은? 제단 에 풍성한 음식을 올리는 것은 ‘ 예도 ’이지요. 예도 례 예 도 (禮 度 : 예의와 법도를 아울러 이르는 말 ) , 예의(禮儀), 예법(禮法)"
