character,내DB,사이트
夜,亠(돼지해머리 두) + 㐴(더위잡을 반) + 丶(점 주),亠(머리 두) 亻(사람 인) 月(달) 월(모양)
天,大(클 대) + 一(한 일),大(큰(사람) 대)
夫,大(클 대) + 一(한 일),급(모양) 大(큰(사람) 대)
央,大(클 대) + 冂(멀 경),大(큰(사람) 대)
奉,𡗗(-) + 𠀆(-),扌(손 수)
奏,𡗗(-) + 夭(일찍 죽을 요),天(하늘 천)
奪,奞(날개 칠 순) + 寸(마디 촌),大(큰 대) 隹(새 추) 寸(마디(손) 촌)
奮,奞(날개 칠 순) + 田(밭 전),大(큰 대) 隹(새 추) 田(밭 전)
好,女(여자 녀(여)) + 子(아들 자),女(여자 녀) 子(아들(아이) 자)
妥,爫(손톱조 조) + 女(여자 녀(여)),爫(손톱(손) 조) 女(여자 녀)
妻,女(여자 녀(여)) + 一(한 일) + 肀(붓 사),양(또(손) 우) 女(여자 녀)
孔,子(아들 자) + 乚(숨을 은),子(아들(아이)) 자(모양)
存,𠂇(왼 좌) + 丨(뚫을 곤) + 子(아들 자),급(才(재주 재)의 이형) 子(아들(아이) 자)
官,宀(집 면) + 㠯(써 이),宀(집) 면(⻏(언덕 부)의 이형)
定,宀(집 면) + 疋(짝 필),宀(집) 면(正(바를 정)의 이형)
宴,宀(집 면) + 妟(편안할 안),宀(집 면) 日(날 일) 女(여자 녀)
宿,宀(집 면) + 佰(일백 백),宀(집 면) 亻(사람 인) 百(모양)
寒,𡨄(틈 하) + ⺀(얼음 빙),宀(집 면) 井(茻(모양)의 이) 형(廾(양손 공)의 이형) 冫(얼음 빙)
寧,寍(편안할 녕(영)) + 丁(고무래 정),宀(집 면) 心(마음 심) 皿(그릇 명) 丁(고무래/장정 정)
少,小(작을 소) + 丿(삐침 별),小(작을) 소(모양)
尺,尸(주검 시) + 丶(점 주),尸(주검(몸)) 시(모양)
層,尸(주검 시) + 曽(일찍 증),尸(주검(집) 시) 曾(일찍(거듭) 증)
履,尸(주검 시) + 復(회복할 복),尸(주검(몸) 시) 復(다시 부/돌아올 복)
屯,屮(왼손 좌) + 丿(삐침 별),一(모) 양((풀 초)의 이형)
岡,山(메 산) + 冂(멀 경) + 䒑(초두머리 초),山(뫼 산)
岸,山(메 산) + 厈(굴바위 엄),山(뫼 산) 厂(기슭 엄) 干(방패 간)
島,丿(삐침 별) + 𠁣(-) + 𠃌(-) + 山(메 산),급(鳥(새 조)의 이형) 山(뫼 산)
州,川(내 천) + 丶(점 주) + 丶(점 주) + 丶(점 주),川(내) 천(모양)
差,羊(양 양) + 丿(삐침 별) + 工(장인 공),급(羊(양 양)의 이형) 工(장인(만들) 공)
希,㐅(다섯 오) + 布(베 포),布(베 포)
席,巾(수건 건) + 广(집 엄) + 廿(스물 입),급(여러 서) 巾(수건(천) 건)
常,龸(-) + 吊(이를 적),尙(오히려(높을) 상) 巾(수건(천) 건)
幸,土(흙 토) + 𢆉(찌를 임),辛(매울 신)
幹,干(방패 간) + 倝(햇빛 빛나는 모양 간),干(방패 간)
幽,𢆶(작을 유) + 山(메 산),山(뫼 산) 幺(작을 요) 幺(작을 요)
幾,𢆶(작을 유) + 戍(수자리 수),幺(작을(실) 요) 幺(작을(실) 요) 戈(창 과) 人(사람 인)
度,广(집 엄) + 廿(스물 입) + 又(또 우),급(여러 서) 又(또(손) 우)
庶,广(집 엄) + 廿(스물 입) + 灬(연화발 화),급(여러 서) 灬(불 화)
庸,广(집 엄) + 肀(붓 사) + 冃(쓰개 모),급(庚(절구질 경)의 이형) 用(쓸(통) 용)
廊,广(집 엄) + 郎(사내 랑(낭)),广(집 엄) 郞(사내 랑)
廴,"",彳(조금 걸을(걸을) 척)
延,廴(길게 걸을 인) + 丿(삐침 별) + 卜(점 복) + 乚(숨을 은),급(발 끌 연) 廴(길게 걸을 인)
引,弓(활 궁) + 丨(뚫을 곤),弓(활 궁  ㅣ: 모양)
弱,弓(활 궁) + 冫(얼음 빙) + 弓(활 궁) + 冫(얼음 빙),羽(깃 우)
強,弓(활 궁) + 𧈧(비록 수),弘(클 홍) 虫(벌레 충)
得,彳(조금 걸을 척) + 㝵(그칠 애),彳(조금 걸을(걸을) 척) 旦(아침 단) 寸(마디(손) 촌)
微,彳(조금 걸을 척) + 𢼸(작을 미),彳(걸을) 척(모양) 攵(칠(때릴) 복)
必,心(마음 심) + 丿(삐침 별),心(마음) 심(모양)
急,心(마음 심) + 刍(꼴 추),인(또(손) 우) 心(마음 심)
怪,忄(심방변 심) + 圣(힘쓸 골),忄(마음 심) 又(또(손) 우) 土(흙 토)
恐,巩(굳을 공) + 心(마음 심),工(모양) 凡(무릇(공기) 범) 心(마음 심)
患,心(마음 심) + 串(곶 곶),串(꿸 관) 心(마음 심)
愛,爫(손톱조 조) + 冖(덮을 멱) + 𢖻(사랑 애),爫(손톱(손)) 조(표현할 ?)
慈,心(마음 심) + 兹(무성할 자),玆(이(결합할) 자) 心(마음 심)
慕,心(마음 심) + 莫(없을 막),莫(없을 막) 㣺(마음 심)
憲,心(마음 심) + 宀(집 면) + 罒(그물망 망) + 丰(예쁠 봉),급(해할 해) 罒(눈 목) 心(마음 심)
懇,心(마음 심) + 貇(간절할 간),豸(짐승 치) 艮(그칠 간) 心(마음 심)
成,戊(천간 무) + 𠃌(-),戌(개(도끼)) 술(모양)
承,氶(이을 승) + 三(석 삼),子(아들(아이) 자) 扌(손) 수(水(물 수)의 이형)
拳,手(손 수) + 龹(밥 뭉칠 권),手(손 수)
掌,龸(-) + 𠰅(집을 지),尙(오히려(높을) 상) 手(손 수)
掛,扌(재방변 수) + 卦(점괘 괘),扌(손 수) 圭(쌍토 규) 卜(점 복)
換,扌(재방변 수) + 奐(빛날 환),扌(손) 수(모) 양(모양) 大(큰(사람) 대)
敢,丅(아래 하) + 耳(귀 이) + 攵(칠 복),耳(귀 이) 攻(칠(공격할) 공)
散,攵(칠 복) + 龷(-) + 月(달 월),艹(풀 초  ㅡ: 모양) 月(고기 육) 攵(칠 복)
整,敕(칙서 칙) + 正(바를 정),束(묶을 속) 攵(칠 복) 正(바를 정)
新,亲(친할 친) + 斤(근 근),立(설 립) 木(나무 목) 斤(근(도끼) 근)
施,方(모 방) + 㐌(종족 이름 이),也(어조사(뱀) 야)
旋,方(모 방) + 𠂉(-) + 疋(짝 필),疋(발 소)
族,方(모 방) + 𠂉(-) + 矢(화살 시),급(깃발 언) 矢(화살 시)
旗,方(모 방) + 𠂉(-) + 其(그 기),급(깃발 언) 其(그 기)
旦,日(날 일) + 一(한 일),日(날(해)) 일(모양)
旨,日(날 일) + 匕(비수 비),匕(숟가락 비) 口(입 구) 一(모양)
昔,龷(-) + 日(날 일),艹(풀 초  ㅡ: 모양) 日(날(해) 일)
是,日(날 일) + 疋(짝 필),日(날(해)) 일(正(바를 정)의 이형)
晴,日(날 일) + 青(푸를 청),日(날(해) 일) 靑(푸를 청)
暴,日(날 일) + 㳟(공손할 공),日(날(해) 일) 共(함께 공) 氺(물 수)
替,曰(가로 왈) + 㚘(함께 갈 반),夫(지아비(사내) 부) 夫(지아비(사내) 부) 曰(가로(말할) 왈)
最,曰(가로 왈) + 取(가질 취),取(가질(취할) 취)
朗,丿(삐침 별) + 𠁣(-) + 丶(점 주) + 月(달 월),良(어질(좋을) 량) 月(달 월)
望,月(달 월) + 亡(망할 망) + 王(임금 왕),亡(망할(없을) 망) 月(달 월) 壬(북방(짊어질) 임)
朝,龺(-) + 月(달 월),급(해 돋을 간) 月(달 월)
未,木(나무 목) + 一(한 일),木(나무 목  ⁻: 모양)
末,木(나무 목) + 一(한 일),木(나무 목  ￣: 부분을 나타내는 선)
本,木(나무 목) + 一(한 일),木(나무 목  _: 부분을 나타내는 선)
束,木(나무 목) + 口(입 구),木(나무 목  ㅁ: 모양)
林,木(나무 목) + 木(나무 목),木(나무 목) 木(나무 목)
果,木(나무 목) + 日(날 일),田(모양) 木(나무 목)
某,𣏼(삽 화) + 一(한 일),甘(달 감) 木(나무 목)
染,木(나무 목) + 氿(샘 궤),氵(물 수) 九(아홉(길) 구) 木(나무 목)
桑,木(나무 목) + 叒(따를 약),又(또(손) 우) 木(나무 목)
業,业(업 업) + 𦍎(오랑캐 강),丵(무성할 착) 木(나무 목)
構,木(나무 목) + 冓(짤 구),木(나무) 목(짤 구)
欠,欠(하품 흠),급(모양) 人(사람 인)
次,欠(하품 흠) + 冫(얼음 빙),二(두 이) 欠(하품(흠) 흠)
正,止(그칠 지) + 一(한 일),止(그칠(발) 지)
武,止(그칠 지) + 一(한 일) + 弋(주살 익),止(그칠(발) 지)
段,殳(몽둥이 수) + 丿(삐침 별) + 丨(뚫을 곤) + 三(석 삼),급(⻏(언덕 부)의 이형) 殳(몽둥이/창(칠) 수)
殺,𣏂(죽일 살) + 殳(몽둥이 수),乂(벨 예) 木(모양) 丶(모양) 殳(몽둥이/창(칠) 수)
殿,殳(몽둥이 수) + 𡱒(볼기 둔),尸(주검(집) 시) 共(함께 공) 殳(몽둥이/창(칠) 수)
母,毋(말 무) + 丶(점 주),급(모양) 女(여자 녀)
毒,龶(-) + 母(어머니 모),母(毋(말 무)의 이형)
毛,乚(숨을 은) + 彡(터럭 삼),彡(터럭) 삼(모양)
汚,氵(삼수변 수) + 亐(땅 이름 울),氵(물) 수(모) 양(모양)
浮,氵(삼수변 수) + 孚(미쁠 부),氵(물 수) 爫(손톱(손) 조) 子(아들(아이) 자)
消,氵(삼수변 수) + 肖(닮을 초),氵(물 수) 小(작을 소) 月(고기(몸) 육)
涯,氵(삼수변 수) + 厓(언덕 애),氵(물 수) 厂(기슭 엄) 圭(쌍토 규)
淫,氵(삼수변 수) + 㸒(가까이할 음),氵(물 수) 爫(손톱(손) 조) 壬(북방(짊어질) 임)
湖,氵(삼수변 수) + 胡(되 호),氵(물 수) 古(옛(오랠) 고) 月(달 월)
滅,氵(삼수변 수) + 烕(없앨 혈),氵(물 수) 戌(개(도끼) 술) 火(불 화)
滋,氵(삼수변 수) + 兹(무성할 자),氵(물 수) 玆(이(결합할) 자)
漆,氵(삼수변 수) + 桼(옻 칠),氵(물 수) 木(나무 목) 人(사람 인) 氺(물 수)
漏,氵(삼수변 수) + 屚(샐 루(누)),氵(물 수) 尸(주검(집) 시) 雨(비 우)
漢,氵(삼수변 수) + 廿(스물 입) + 口(입 구) + 夫(지아비 부),氵(물) 수(堇(진흙 근)의 이형)
潔,氵(삼수변 수) + 絜(헤아릴 혈),氵(물) 수(무늬 결)
激,氵(삼수변 수) + 敫(노래할 교),氵(물 수) 白(흰 백) 放(놓을(방출할) 방)
炎,火(불 화) + 火(불 화),火(불 화) 火(불 화)
炭,火(불 화) + 屵(산 높은 모양 알),山(뫼(산) 산) 厂(모양) 火(불 화)
然,灬(연화발 화) + 夕(저녁 석) + 犬(개 견) + 丶(점 주),肰(개고기 연) 灬(불 화)
爵,𡬳(닦을 선) + 𠁣(-) + 二(두 이),爫(손톱(손)) 조(모양) 寸(마디(손) 촌)
獄,狺(으르렁거릴 은) + 犬(개 견),犭(개 견) 言(말씀(말) 언) 犬(개 견)
獲,犭(개사슴록변 견) + 蒦(자 확),犭(개) 견(잡을 확)
班,玨(쌍옥 각) + 刂(선칼도방 도),王(구슬(옥) 옥) 刂(칼 도) 王(구슬(옥) 옥)
琴,玨(쌍옥 각) + 今(이제 금),양(모양) 今(이제(지금) 금)
留,𠂎(-) + 刀(칼 도) + 田(밭 전),卯(토끼(가를) 묘) 田(밭 전)
異,田(밭 전) + 共(한가지 공),田(모) 양(모양) 人(사람 인)
畿,田(밭 전) + 𢆶(작을 유) + 戈(창 과),田(밭 전)
疑,𠤕(정하지 못할 의) + 龴(-) + 疋(짝 필),匕(숟가락(비수) 비) 矢(화살) 시(모양) 疋(발 소)
疒,"",亠(머리) 두(모양)
百,白(흰 백) + 一(한 일),白(흰 백)
的,白(흰 백) + 勺(구기 작),白(흰 백) 勹(쌀 포) 丶(모양)
益,皿(그릇 명) + 八(여덟 팔) + 一(한 일) + 八(여덟 팔),皿(그릇 명)
監,皿(그릇 명) + 臣(신하 신) + 𠂉(-) + 一(한 일),臣(신하(눈 아래로 내릴)) 신(사람 인  -: 모양) 皿(그릇 명)
直,𥃭(-) + 一(한 일),目(눈 목  𠃊: 숨을 은)
盾,𠂆(당길 예) + 𥃭(-),厂(기슭(벼랑)) 엄(모양) 目(눈 목)
着,𦍌(양 양) + 丿(삐침 별) + 目(눈 목),目(눈 목)
石,丆(구결자 면) + 口(입 구),厂(기슭(벼랑) 엄  ㅁ: 모양)
磁,石(돌 석) + 兹(무성할 자),石(돌 석) 玆(이(결합할) 자)
祭,夕(저녁 석) + 示(보일 시),月(고기 육) 又(또(손) 우) 示(보일(제단) 시)
穀,𥞤(곡식 곡) + 殳(몽둥이 수),士(선비 사) 冖(모양 -: 모양) 禾(벼 화) 殳(몽둥이/창(칠) 수)
穫,禾(벼 화) + 蒦(자 확),禾(벼) 화(잡을 확)
窮,穴(구멍 혈) + 躬(몸 궁),穴(굴 혈) 身(몸 신) 弓(활 궁)
章,立(설 립(입)) + 早(이를 조),音(소리(말소리) 음) 十(열(여러) 십)
競,竞(다툴 경) + 竞(다툴 경),咅(가를 부) 儿(사람 인) 咅(가를 부) 儿(사람 인)
笑,𥫗(대죽 죽) + 夭(일찍 죽을 요),竹(대) 죽(모양) 大(큰(사람) 대)
笛,𥫗(대죽 죽) + 由(말미암을 유),竹(대 죽) 由(말미암을(뽑아낼) 유)
符,𥫗(대죽 죽) + 付(줄 부),竹(대 죽) 亻(사람 인) 寸(마디(손) 촌)
第,𥫗(대죽 죽) + 𢎨(조상할 조),竹(대) 죽(弟의 이형)
筆,𥫗(대죽 죽) + 聿(붓 율),竹(대 죽) 聿(붓 율)
等,𥫗(대죽 죽) + 寺(절 사),竹(대 죽) 寺(절(관청) 사)
筋,𥫗(대죽 죽) + 肋(갈빗대 륵(늑)),竹(대(대나무) 죽) 月(고기(몸) 육) 力(힘 력)
答,𥫗(대죽 죽) + 合(합할 합),竹(대(죽간) 죽) 合(합할 합)
策,𥫗(대죽 죽) + 朿(가시 자),竹(대(죽간) 죽) 朿(가시 자)
算,𥬥(-) + 卄(스물 입),竹(대 죽) 目(모양) 廾(양손 공)
管,𥫗(대죽 죽) + 官(벼슬 관),竹(대 죽) 官(벼슬 관)
節,𥫗(대죽 죽) + 卽(곧 즉),竹(대 죽) 皀(향기로울(밥) 급) 卩(병부(무릎 굽힐) 절)
範,𥫗(대죽 죽) + 𨊠(수레 바닥 둘레 나무 범),竹(대 죽) 車(수레 차) 㔾(병부(웅크릴) 절)
築,𥫗(대죽 죽) + 𣑦(-),竹(대 죽) 工(모양) 凡(: 무릇(공기) 범) 木(나무 목)
篤,𥫗(대죽 죽) + 馬(말 마),竹(대(대나무) 죽) 馬(말 마)
簡,𥫗(대죽 죽) + 間(사이 간),竹(대 죽) 間(사이 간)
簿,𥫗(대죽 죽) + 溥(펼 부),竹(대 죽) 溥(엷을 부)
籍,𥫗(대죽 죽) + 耤(짓밟을 적),竹(대 죽) 耒(쟁기 뢰) 昔(옛 석)
粧,米(쌀 미) + 庄(엄할 장),米(쌀 미) 广(집 엄) 土(흙 토)
精,米(쌀 미) + 青(푸를 청),米(쌀 미) 靑(푸를 청)
系,糸(가는 실 멱) + 丿(삐침 별),급(모양) 糸(실 사)
約,糹(가는 실 멱) + 勺(구기 작),糸(실 사) 勹(쌀 포) 丶(모양)
純,糹(가는 실 멱) + 屯(진 칠 둔),糸(실 사) 一(모) 양((풀 초)의 이형)
素,龶(-) + 糸(가는 실 멱),糸(실 사)
結,糹(가는 실 멱) + 吉(길할 길),糸(실(줄) 사) 士(선비 사  ㅁ: 입(말) 구)
綿,糹(가는 실 멱) + 帛(비단 백),糸(실 사) 白(흰 백) 巾(수건(천) 건)
緊,糸(가는 실 멱) + 臤(어질 현),糸(실(줄) 사)
罰,罒(그물망 망) + 䚯(소리 현),罒(그물 망) 言(말씀(말) 언) 刂(칼 도)
習,羽(깃 우) + 白(흰 백),羽(깃 우)
者,耂(늙을로엄 로(노)) + 丶(점 주) + 日(날 일),耂(늙을 로) 白(흰(말할) 백)
聖,𦔻(성인 성) + 壬(북방 임),耳(귀 이) 呈(드릴 정)
肖,⺼(육달월 월) + 小(작을 소),小(작을 소) 月(고기(몸) 육)
肝,⺼(육달월 월) + 干(방패 간),月(고기(몸) 육) 干(방패 간)
肥,⺼(육달월 월) + 巴(꼬리 파),月(고기(몸) 육) 巴(큰뱀 파)
肩,戶(집 호) + ⺼(육달월 월),戶(집(지게) 호) 月(고기(몸) 육)
肯,⺼(육달월 월) + 止(그칠 지),止(그칠(발) 지) 月(고기 육)
育,亠(돼지해머리 두) + 䏍(작은 벌레 원),급(태아 돌) 月(고기(몸) 육)
肺,⺼(육달월 월) + 巿(슬갑 불),月(고기(몸) 육) 市(저자 시)
胃,⺼(육달월 월) + 田(밭 전),田(밭 전) 月(고기(몸) 육)
背,⺼(육달월 월) + 北(북녘 북),北(북녘(등질) 북) 月(고기(몸) 육)
胞,⺼(육달월 월) + 包(쌀 포),月(고기(몸) 육) 包(쌀 포)
胸,⺼(육달월 월) + 匈(오랑캐 흉),月(고기(몸) 육) 勹(쌀 포) 凶(흉할 흉)
脅,⺼(육달월 월) + 劦(합할 협),劦(힘 합할 협) 月(고기(몸) 육)
脈,⺼(육달월 월) + 𠂢(갈래 파),月(고기(몸) 육  𠂢: 갈라져 흐를 비)
脚,⺼(육달월 월) + 却(물리칠 각),月(고기(몸) 육) 去(갈 거) 卩(병부(무릎 굽힐) 절)
腰,⺼(육달월 월) + 要(요긴할 요),月(고기(몸) 육) 要(요긴할 요)
腸,⺼(육달월 월) + 昜(볕 양),月(고기(몸) 육) 昜(볕 양)
興,𦥑(깍지 낄 국) + 同(한가지 동) + 一(한 일) + 八(여덟 팔),同(한가지(같을) 동)
舞,舛(어그러질 천) + 𠂉(-) + 卌(마흔 십),급(無(없을 무)의 이형) 舛(어긋날(양발) 천)
船,舟(배 주) + 几(안석 궤) + 口(입 구),舟(배 주) 㕣(늪 연)
荒,艹(초두머리 초) + 巟(물 넓을 황),艹(풀 초) 亡(망할(없을) 망) 川(내 천)＜ーーーーーーーーーーーーー
荷,艹(초두머리 초) + 何(어찌 하),艹(풀 초) 亻(사람 인) 可(옳을(숨) 가)
菊,艹(초두머리 초) + 匊(움킬 국),艹(풀 초) 勹(쌀 포) 米(쌀 미)　＜ーーーーーーーーーーーーー
菌,艹(초두머리 초) + 囷(곳집 균),艹(풀 초) 囗(모양) 禾(벼 화)　　＜ーーーーーーーーーーーーー
落,艹(초두머리 초) + 洛(물 이름 락(낙)),艹(풀 초) 氵(물 수) 各(각각 각)　＜ーーーーーーーーーーーーー
葬,艹(초두머리 초) + 𢍈(장사지낼 장),艹(풀 초) 死(죽을 사) 廾(양손 공)　←ーーーーーーーーー
蓋,艹(초두머리 초) + 盍(덮을 합),艹(풀 초) 去(갈 거) 皿(그릇 명)
血,丿(삐침 별) + 皿(그릇 명),皿(그릇 명)
表,龶(-) + 𧘇(옷의변 의),土(흙 토)
衰,亠(돼지해머리 두) + 口(입 구) + 一(한 일) + 𧘇(옷의변 의),哀(슬플 애  ㅡ: 모양)
裏,衣(옷 의) + 里(마을 리(이)),里(마을 리)
襲,衣(옷 의) + 龍(용 룡(용)),龍(용 룡) 衣(옷 의)
要,覀(덮을 아) + 女(여자 녀(여)),覀(덮을 아) 女(여자 녀)
覆,覀(덮을 아) + 復(회복할 복),覀(덮을(마개) 아) 復(다시 부/돌아올 복)
親,見(볼 견) + 亲(친할 친),立(설 립) 木(나무 목) 見(볼 견)
言,亖(넉 사) + 口(입 구),亠(머리 두) 二(두 이) 口(입 구)
誇,言(말씀 언) + 夸(자랑할 과),言(말씀(말) 언) 大(큰 대) 二(모) 양(모양)
請,言(말씀 언) + 青(푸를 청),言(말씀(말) 언) 靑(푸를 청)
講,言(말씀 언) + 冓(짤 구),言(말씀(말)) 언(짤 구)
護,言(말씀 언) + 蒦(자 확),言(말씀(말)) 언(잡을 확)
豪,豕(돼지 시) + 亠(돼지해머리 두) + 口(입 구) + 冖(덮을 멱),豕(돼지 시)
貫,毋(말 무) + 貝(조개 패),毌(꿸 관) 貝(조개(돈) 패)
責,貝(조개 패) + 龶(-),主(주인 주) 貝(조개(돈) 패)
貸,貝(조개 패) + 代(대신할 대),亻(사람 인) 弋(주살 익) 貝(조개(재물) 패)
貿,𠂎(-) + 刀(칼 도) + 貝(조개 패),卯(토끼(가를) 묘) 貝(조개(재물) 패)
賓,宀(집 면) + 丅(아래 하) + 丿(삐침 별) + 丿(삐침 별) + 貝(조개 패) + 丶(점 주),宀(집 면 ㅡ: 모) 양(少의 이형) 貝(조개(재물) 패)
賜,貝(조개 패) + 易(바꿀 역),貝(조개(재물) 패) 易(바꿀 역)
賞,龸(-) + 員(인원 원),尙(오히려(높을) 상) 貝(조개(재물) 패)
賢,貝(조개 패) + 臤(어질 현),貝(조개(재물) 패)
赤,土(흙 토) + 八(여덟 팔) + 八(여덟 팔),土(모) 양(灬(불 화)의 이형)
走,土(흙 토) + 龰(-),土(모) 양(발 지)
辵,"",彡(彳의 이형) 止(그칠(발) 지)
送,辶(쉬엄쉬엄 갈 착) + 关(웃을 소),八(여덟(나눌) 팔  ㅡ: 모양) 大(큰(사람) 대) 辶(갈 착)
遊,辶(쉬엄쉬엄 갈 착) + 斿(놀 유),급(깃발 언) 子(아들(아이) 자) 辶(갈 착)
達,辶(쉬엄쉬엄 갈 착) + 𦍒(어린 양 달),土(모양) 羊(양 양) 辶(갈 착)
遷,辶(쉬엄쉬엄 갈 착) + 䙴(오를 선),覀(덮을) 아(廾(양손 공)의 이형) 㔾(모양) 辶(갈 착)
選,辶(쉬엄쉬엄 갈 착) + 巽(부드러울 손),巳(모양) 巳(모양) 共(함께 공) 辶(갈 착)
邪,牙(어금니 아) + ⻏(우부방 읍),牙(어금니 아) 阝(고을 읍)
郊,交(사귈 교) + ⻏(우부방 읍),交(사귈(교차할) 교) 阝(고을 읍)
郡,君(임금 군) + ⻏(우부방 읍),君(임금 군) 阝(고을 읍)
